query,mode,repeats,median_seconds,min_seconds,max_seconds,range_over_median,median_process_seconds,median_rss_gib,max_rss_gib,claimed,transferred,dequeued,local_fit,local_grow,queue_high_water,queued_demand_bytes_high_water,queue_wait_ns,max_queue_wait_ns,gate_rejected,queue_rejected,no_receiver,cost_evaluations,adaptive_limit_changes,executed,observed_buffer_bytes,allocations,growths,growth_bytes,vs_dynamic,vs_legacy
q00,dynamic,3,1.34,1.34,1.4,0.04477611940298495,1.8125896668061614,0.8331298828125,0.8364830017089844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
q00,legacy,3,1.34,1.28,1.36,0.05970149253731348,1.7624447140842676,0.8355484008789062,0.836090087890625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
q00,selective-4,3,1.12,1.01,1.12,0.0982142857142858,2.5936097353696823,0.8349380493164062,0.836395263671875,10240,91,91,10144,96,4,8773632,183274355,14428380,0,52,2,0,0,10240,120717312,96,0,0,0.8358208955223881,0.8358208955223881
q00,selective-all,3,1.48,1.33,1.59,0.17567567567567569,2.1069359285756946,0.8393592834472656,0.8397064208984375,10240,0,0,10144,96,0,0,0,0,0,96,0,0,0,10240,120717312,96,0,0,1.1044776119402984,1.1044776119402984
q00,selective-base,3,1.25,1.25,1.31,0.04800000000000004,1.7646263930946589,0.8401641845703125,0.8410186767578125,10240,84,84,10144,96,4,13787136,270968383,26749908,0,46,11,0,0,10240,120717312,96,0,0,0.9328358208955223,0.9328358208955223
q00,selective-gate,3,1.58,1.45,1.59,0.08860759493670893,2.1195781910791993,0.8403396606445312,0.8405380249023438,10240,0,0,10144,96,0,0,0,0,96,0,0,0,0,10240,120717312,96,0,0,1.1791044776119404,1.1791044776119404
q00,selective-gate-cost,3,1.69,1.51,1.74,0.13609467455621302,2.21257512178272,0.8391380310058594,0.8397216796875,10240,0,0,10144,96,0,0,0,0,96,0,0,0,0,10240,120717312,96,0,0,1.2611940298507462,1.2611940298507462
q00,static-locked,3,1.34,1.31,1.36,0.03731343283582093,20.83566210232675,30.74538803100586,30.747295379638672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0
q00,static-lockfree,3,1.32,1.29,1.34,0.03787878787878791,20.76002245210111,30.74645233154297,30.74718475341797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9850746268656716,0.9850746268656716
q01,dynamic,3,1.28,1.18,1.3,0.09375000000000008,1.7534965332597494,0.8514556884765625,0.8536872863769531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.032258064516129
q01,legacy,3,1.24,1.06,1.24,0.1451612903225806,1.661229050718248,0.830078125,0.8316497802734375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96875,1.0
q01,selective-4,3,1.15,1.11,1.23,0.10434782608695643,1.6117261368781328,0.8334579467773438,0.834259033203125,10240,86,86,10144,96,4,8773632,152993917,18242240,0,46,11,0,0,10240,120717312,96,0,0,0.8984374999999999,0.9274193548387096
q01,selective-all,3,1.45,1.4,1.65,0.1724137931034483,2.1641258150339127,0.840057373046875,0.8408889770507812,10240,0,0,10144,96,0,0,0,0,0,96,0,0,0,10240,120717312,96,0,0,1.1328125,1.1693548387096775
q01,selective-base,3,1.26,1.22,1.28,0.04761904761904766,1.7639938537031412,0.8372116088867188,0.8379631042480469,10240,81,81,10144,96,4,13787136,260569307,31081361,0,46,12,0,0,10240,120717312,96,0,0,0.984375,1.0161290322580645
q01,selective-gate,3,1.5,1.49,1.52,0.020000000000000018,2.0045791445299983,0.8379974365234375,0.8397369384765625,10240,0,0,10144,96,0,0,0,0,96,0,0,0,0,10240,120717312,96,0,0,1.171875,1.2096774193548387
q01,selective-gate-cost,3,1.57,1.48,1.61,0.0828025477707007,2.0688903061673045,0.8390884399414062,0.839141845703125,10240,0,0,10144,96,0,0,0,0,96,0,0,0,0,10240,120717312,96,0,0,1.2265625,1.2661290322580645
q01,static-locked,3,1.23,1.2,1.23,0.024390243902439046,20.56721658166498,30.742443084716797,30.744281768798828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9609375,0.9919354838709677
q01,static-lockfree,3,1.24,1.23,1.27,0.03225806451612906,20.76820543780923,30.74361801147461,30.74380874633789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96875,1.0
q02,dynamic,3,1.31,1.3,1.31,0.007633587786259549,1.7129964958876371,0.7547111511230469,0.7547454833984375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.9776119402985074
q02,legacy,3,1.34,1.14,1.34,0.1492537313432837,1.7642981493845582,0.7439041137695312,0.7440032958984375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0229007633587786,1.0
q02,selective-4,3,1.24,1.2,1.25,0.040322580645161324,1.6626354046165943,0.7445068359375,0.7457962036132812,10240,96,96,10144,96,4,4399104,146596143,23170285,0,48,2,0,0,10240,60821504,96,0,0,0.9465648854961831,0.9253731343283581
q02,selective-all,3,1.36,1.35,1.36,0.007352941176470594,1.8122615041211247,0.7491569519042969,0.7509422302246094,10240,0,0,10144,96,0,0,0,0,0,96,0,0,0,10240,60784640,96,0,0,1.0381679389312977,1.0149253731343284
q02,selective-base,3,1.27,1.22,1.29,0.05511811023622052,1.7120952559635043,0.7492904663085938,0.7510833740234375,10240,95,95,10144,96,4,6287360,176003882,17460704,0,51,2,0,0,10240,60772352,96,0,0,0.9694656488549618,0.9477611940298507
q02,selective-gate,3,1.36,1.27,1.4,0.09558823529411756,1.8612093487754464,0.7499732971191406,0.7505683898925781,10240,0,0,10144,96,0,0,0,0,96,0,0,0,0,10240,60784640,96,0,0,1.0381679389312977,1.0149253731343284
q02,selective-gate-cost,3,1.34,1.31,1.38,0.052238805970149134,1.8037273567169905,0.7497329711914062,0.7510910034179688,10240,0,0,10144,96,0,0,0,0,96,0,0,0,0,10240,60784640,96,0,0,1.0229007633587786,1.0
q02,static-locked,3,1.32,1.32,1.32,0.0,20.821013840846717,30.720596313476562,30.72134780883789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0076335877862594,0.9850746268656716
q02,static-lockfree,3,1.31,1.3,1.33,0.022900763358778647,20.840604190714657,30.719188690185547,30.72134017944336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.9776119402985074
q03,dynamic,3,1.67,1.6,1.75,0.08982035928143707,2.1128605725243688,0.8188323974609375,0.8197898864746094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.9881656804733727
q03,legacy,3,1.69,1.65,1.73,0.047337278106508916,2.105723920278251,0.8136062622070312,0.8140487670898438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0119760479041917,1.0
q03,selective-4,3,1.52,1.24,1.53,0.19078947368421054,1.9575744904577732,0.8039970397949219,0.8041343688964844,10240,123,123,10144,96,4,45318144,1013316775,55627455,0,38,4,0,0,10240,121622528,192,0,0,0.9101796407185629,0.8994082840236687
q03,selective-all,3,1.85,1.84,1.86,0.01081081081081082,2.316821944899857,0.8075637817382812,0.8078117370605469,10240,0,0,10144,96,0,0,0,0,0,96,0,0,0,10240,121597952,192,0,0,1.1077844311377247,1.0946745562130178
q03,selective-base,3,1.59,1.54,1.66,0.07547169811320747,2.056829012930393,0.8085136413574219,0.8089218139648438,10240,107,107,10144,96,4,45285376,1195992231,49860114,0,48,2,0,0,10240,121569280,192,0,0,0.9520958083832336,0.9408284023668639
q03,selective-gate,3,1.79,1.49,1.88,0.21787709497206698,2.3129083374515176,0.8071861267089844,0.8079566955566406,10240,0,0,10144,96,0,0,0,0,96,0,0,0,0,10240,121532416,192,0,0,1.0718562874251498,1.0591715976331362
q03,selective-gate-cost,3,1.76,1.76,1.89,0.0738636363636363,2.2601650403812528,0.8073997497558594,0.807403564453125,10240,0,0,10144,96,0,0,0,0,96,0,0,0,0,10240,121503744,192,0,0,1.0538922155688624,1.0414201183431953
q03,static-locked,3,1.65,1.62,1.66,0.02424242424242413,22.185520427301526,30.73676300048828,30.736949920654297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9880239520958084,0.9763313609467456
q03,static-lockfree,3,1.62,1.53,1.63,0.06172839506172831,21.60985141340643,30.736915588378906,30.73770523071289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.970059880239521,0.9585798816568049
q04,dynamic,3,1.41,1.41,1.51,0.0709219858156029,1.8707804000005126,0.8335533142089844,0.8335762023925781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.9791666666666666
q04,legacy,3,1.44,1.17,1.46,0.20138888888888892,1.9157938603311777,0.8393325805664062,0.839385986328125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0212765957446808,1.0
